,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
ExternalRiskEstimate,1.0,0.2517732561106222,0.14835447254207731,0.3309864791127482,0.00017385813377518997,-0.41257271274358537,-0.34412454874422516,0.5148496267696656,0.46284130291727943,0.5684204427801205,0.5003000856478805,-0.03857765497804165,-0.19070372189272328,-0.16901505137888964,0.1990996396506392,-0.20663319681216216,-0.20558500002399277,-0.6263517603882558,-0.07692365248999977,-0.3469841268216656,-0.18313587159665834,-0.4658868427090436,-0.45532607253408475
MSinceOldestTradeOpen,0.2517732561106222,1.0,0.1063460065826673,0.6942835922640946,0.24360135444903247,-0.012148509924521489,-0.0275876341362022,0.039369792142059615,0.022045968122696675,-0.008381758994337386,-0.0031623473555486836,0.269729270780335,-0.10965552438789006,-0.19392453382505426,0.09166802181479383,-0.10634498586667618,-0.1031826569646011,-0.17916182227349436,-0.10625731092689741,0.11290015646708132,-0.025883258451245506,-0.006479261115543138,-0.21782543141930605
MSinceMostRecentTradeOpen,0.14835447254207731,0.1063460065826673,1.0,0.397136999232855,-0.25470944908908705,0.026785277358280988,0.0264472985972464,-0.1266256036115792,-0.04951346499211997,-7.80458387622824e-05,0.011131900674272291,-0.22470410292684517,-0.45880540278009274,-0.025439875278785468,0.09366062994261162,-0.17480376886193025,-0.17648060723373193,-0.060421712828219114,-0.2734853320502869,-0.17420367018952782,-0.18939993317177117,-0.08708524312952728,-0.006613493284454082
AverageMInFile,0.3309864791127482,0.6942835922640946,0.397136999232855,1.0,0.11618717098634908,0.03793883622700556,0.012635966106716112,-0.04361803162881997,0.01770259347784478,-0.01610672266589685,-0.035069613344732284,0.09036655481569104,-0.3538006987300101,-0.20256943671235084,0.12943500912301942,-0.18084607713148473,-0.1784161965592369,-0.19949224112213054,-0.18108958001887124,0.008832296951599858,-0.11863238335363072,-0.05212289798009714,-0.2088988792256484
NumSatisfactoryTrades,0.00017385813377518997,0.24360135444903247,-0.25470944908908705,0.11618717098634908,1.0,-0.1196697476523182,-0.115349429993501,0.26410334979897965,0.009348210414107175,-0.0059851774314461734,0.03865805801334905,0.8452383683393269,0.3089479845697284,-0.12920637981372146,0.014083157301168516,0.0963771299388247,0.09729976703411698,-0.07560997721168394,-0.01807115624826367,0.4786246339524989,0.3541994331641122,0.23118001630553725,-0.22923297622415806
NumTrades60Ever2DerogPubRec,-0.41257271274358537,-0.012148509924521489,0.026785277358280988,0.03793883622700556,-0.1196697476523182,0.9999999999999998,0.8902662852798862,-0.5346463995536005,-0.03895741256515743,-0.42264309336548955,-0.5877015318600036,-0.02470536801396665,-0.0569359980803144,0.11474214417578989,-0.07048955552258424,0.03817651166664378,0.03830356253155155,0.09158819856015266,-0.006622271464389713,-0.049339912559595564,0.02960821483530701,-0.02102721823255376,0.11262452464879924
NumTrades90Ever2DerogPubRec,-0.34412454874422516,-0.0275876341362022,0.0264472985972464,0.012635966106716112,-0.115349429993501,0.8902662852798862,1.0,-0.3808376837790195,0.00628340443288497,-0.36936675599112745,-0.5030182054696226,-0.03989284631798936,-0.049530277030384706,0.10860720273091891,-0.06378592411022083,0.04071812302224086,0.04112752698541303,0.06418256676350703,0.0020859499613563324,-0.06166363139561997,0.014415984676230849,-0.03385343583446468,0.09658471015406755
PercentTradesNeverDelq,0.5148496267696656,0.039369792142059615,-0.1266256036115792,-0.04361803162881997,0.26410334979897965,-0.5346463995536005,-0.3808376837790195,1.0,0.2564793033687638,0.5064190090909674,0.6392098674256851,0.16626177525212982,0.15289487959953305,-0.1286319407851752,0.08103730067872009,0.006628418634343113,0.008095611580338878,-0.17500720210507706,0.03749251252499863,0.07754896488928749,0.048981961522421735,-0.005604465616818116,-0.18177367118456478
MSinceMostRecentDelq,0.46284130291727943,0.022045968122696675,-0.04951346499211997,0.01770259347784478,0.009348210414107175,-0.03895741256515743,0.00628340443288497,0.2564793033687638,1.0,0.5400737872078432,0.009241032713572475,-0.006587839311697506,0.07969237858964368,-0.018124437392554753,0.043764328475120726,0.0005489721819101779,0.001392928398498125,-0.06472820352764197,0.062123055638021014,-0.05247627336366988,-0.046942474224352174,-0.0531880670000375,-0.058133134736880296
MaxDelq2PublicRecLast12M,0.5684204427801205,-0.008381758994337386,-7.80458387622824e-05,-0.01610672266589685,-0.0059851774314461734,-0.42264309336548955,-0.36936675599112745,0.5064190090909674,0.5400737872078432,1.0,0.6109960192214836,-0.04507921854306274,0.035529645737264234,-0.07558939865137387,0.065009040967612,-0.020907000335581922,-0.021930884469315605,-0.1333386166936877,0.019422853009577946,-0.07786498250193111,-0.07986377376314988,-0.05740082360209163,-0.1153410818708018
