,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
ExternalRiskEstimate,,,,,,,,,,,,,,,,,,,,,,,
MSinceOldestTradeOpen,,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,
MSinceMostRecentTradeOpen,,,,,,,,,,,,,,,,,,,,,,,
AverageMInFile,,,,,,,,,,,,,,,,,,,,,,,
NumSatisfactoryTrades,,,,,,,,,,,,,,,,,,,,,,,
NumTrades60Ever2DerogPubRec,,,,,,,,,,,,,,,,,,,,,,,
NumTrades90Ever2DerogPubRec,,,,,,,,,,,,,,,,,,,,,,,
PercentTradesNeverDelq,,,,,,,,,,,,,,,,,,,,,,,
MSinceMostRecentDelq,,0.0,,,,,,,0.9970517487021351,,,,,,0.09473386094794758,,,0.0,0.0,0.0,0.0,0.0,0.0
MaxDelq2PublicRecLast12M,,,,,,,,,,,,,,,,,,,,,,,
MaxDelqEver,,,,,,,,,,,,,,,,,,,,,,,
NumTotalTrades,,,,,,,,,,,,,,,,,,,,,,,
NumTradesOpeninLast12M,,,,,,,,,,,,,,,,,,,,,,,
PercentInstallTrades,,,,,,,,,,,,,,,,,,,,,,,
MSinceMostRecentInqexcl7days,,0.0,,,,,,,0.09473386094794758,,,,,,0.9986797471282092,,,0.0,0.0,0.0,0.0,0.0,0.0
NumInqLast6M,,,,,,,,,,,,,,,,,,,,,,,
NumInqLast6Mexcl7days,,,,,,,,,,,,,,,,,,,,,,,
NetFractionRevolvingBurden,,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
NetFractionInstallBurden,,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
NumRevolvingTradesWBalance,,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
NumInstallTradesWBalance,,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
NumBank2NatlTradesWHighUtilization,,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
PercentTradesWBalance,,,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
