dataset,variabile,tipo,n_unique
HELOC,RiskPerformance,categorical,2
HELOC,ExternalRiskEstimate,numeric,60
HELOC,MSinceOldestTradeOpen,numeric,525
HELOC,MSinceMostRecentTradeOpen,numeric,108
HELOC,AverageMInFile,numeric,235
HELOC,NumSatisfactoryTrades,numeric,73
HELOC,NumTrades60Ever2DerogPubRec,numeric,18
HELOC,NumTrades90Ever2DerogPubRec,numeric,16
HELOC,PercentTradesNeverDelq,numeric,71
HELOC,MSinceMostRecentDelq,categorical,86
HELOC,MaxDelq2PublicRecLast12M,numeric,9
HELOC,MaxDelqEver,numeric,7
HELOC,NumTotalTrades,numeric,87
HELOC,NumTradesOpeninLast12M,numeric,18
HELOC,PercentInstallTrades,numeric,95
HELOC,MSinceMostRecentInqexcl7days,categorical,27
HELOC,NumInqLast6M,numeric,26
HELOC,NumInqLast6Mexcl7days,numeric,26
HELOC,NetFractionRevolvingBurden,numeric,127
HELOC,NetFractionInstallBurden,numeric,138
HELOC,NumRevolvingTradesWBalance,numeric,30
HELOC,NumInstallTradesWBalance,numeric,19
HELOC,NumBank2NatlTradesWHighUtilization,numeric,18
HELOC,PercentTradesWBalance,numeric,94
