ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
64,201,3,78,58,0,0,95,59,6,6,58,6,21,0,4,3,35,99,9,4,3,39,Bad
77,101,13,63,31,0,0,100,Never Had Delinquency,7,8,32,0,9,0,1,1,36,3,2,2,1,40,Good
61,187,2,85,28,0,0,97,6,4,6,29,2,41,0,0,0,86,43,9,4,3,93,Bad
64,164,7,70,16,2,1,89,69,6,4,18,1,11,0,4,4,89,No Installment Burden,9,1,4,91,Bad
64,345,4,111,34,0,0,94,2,4,6,34,3,18,9,0,0,53,No Installment Burden,10,1,1,69,Good
90,179,13,86,12,0,0,100,Never Had Delinquency,7,8,12,0,25,0,4,4,0,No Installment Burden,2,1,0,50,Good
66,79,7,42,15,0,0,100,Never Had Delinquency,7,8,15,2,20,0,3,3,35,No Installment Burden,6,No Installment Loans,1,75,Bad
61,288,4,100,36,0,0,97,11,4,6,37,5,51,0,3,3,65,76,6,11,2,95,Bad
63,174,1,62,11,1,0,79,5,3,5,14,1,29,0,5,5,37,101,5,2,2,70,Bad
59,271,5,76,28,0,0,89,2,4,6,27,1,36,No Credit Inquiry,3,3,23,97,8,3,0,69,Bad
65,148,1,65,16,0,0,100,Never Had Delinquency,7,8,17,1,29,4,1,1,79,69,7,5,6,92,Bad
60,91,4,87,23,1,0,76,7,4,5,3,2,20,2,2,2,57,100,3,2,2,50,Bad
72,117,1,48,13,1,0,87,72,6,5,15,1,47,No Credit Inquiry,3,3,42,100,3,2,0,100,Bad
70,74,9,47,16,0,0,100,Never Had Delinquency,7,8,16,1,50,1,4,4,44,73,4,2,2,67,Bad
89,379,156,257,3,0,0,100,Never Had Delinquency,7,8,3,0,33,No Credit Inquiry,0,0,0,No Installment Burden,0,No Installment Loans,No Bank Revolving,0,Good
71,253,12,161,11,1,1,92,19,6,6,13,0,31,No Credit Inquiry,0,0,97,30,4,1,1,100,Good
82,189,10,82,16,0,0,100,Never Had Delinquency,7,8,16,1,44,3,1,1,12,No Installment Burden,2,2,0,44,Good
82,219,16,79,18,0,0,100,Never Had Delinquency,7,8,18,0,17,No Credit Inquiry,0,0,38,No Installment Burden,4,1,0,56,Bad
68,New to Credit System,4,29,17,1,0,94,9,3,5,0,5,0,0,5,5,9,No Installment Burden,4,No Installment Loans,1,42,Good
67,158,12,86,11,4,2,60,40,6,3,15,0,60,0,0,0,60,61,2,4,1,86,Bad
86,252,1,78,7,0,0,100,Never Had Delinquency,7,8,10,3,30,4,3,3,29,No Installment Burden,1,2,0,50,Good
