ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
65.0,0,14.0,0,0,4.0,1.0,59.0,0,6.0,4.0,0,0.0,0,0,0,1.0,27,0,2,0,1,0,Good
70.0,270,9.0,0.0,0,0.0,0.0,100.0,0,7.0,0,0,2.0,0.0,0,0,0.0,0.0,0.0,6,0,4,0.0,Bad
65.0,60,14.0,37,5.0,2.0,1,100.0,8,6.0,12,5.0,0,40.0,0,2,2.0,0.2,0.4,1,2,1,60.0,Bad
55.0,210,7.0,45.0,17,0.0,0,94.0,12,4.0,5,18,3,33.3,7,1,0.0,0.35,0.15,2,1,1,16.7,Bad
67.0,210,6.0,37.0,10,2.0,2.0,88.0,12,6.0,2,12,2,33.33,0,0,0.0,31,70,5,3,1,66.67,Bad
58.0,10,1.0,10.0,4,0.0,0,100.0,0,7.0,0,4.0,3.0,25.0,0,4.0,4.0,85,85,1,1,1,75,Bad
77.0,0,31.0,138.0,0,1.0,0,94.0,0,6.0,6.0,0,0.0,0,0,0,0.0,0,0,3,0,0,0,Good
81.0,120,2.0,61,11,0.0,0.0,100.0,2,7.0,7,11,2,54.55,0,1,1.0,27.27,54.55,3,6,0,83,Good
71.0,446,14.0,109.0,25.0,0.0,0.0,100.0,0,7.0,0,25,0,4.0,19,0,0.0,0.2,0.04,5,1,4,24.0,Good
75.0,219,1.0,97,8,0.0,0,100.0,12,7.0,8.0,12,2,30,0,1,4.0,0.25,0.15,12,3,1,60,Good
60.0,180,9.0,94.5,10.0,3.0,2.0,50.0,6,6.0,2.0,15,5,13.3,0,2.0,2.0,0,56,0,2,1,13.3,Bad
88.0,133,14.0,83.0,0.0,0.0,0.0,100.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,1,0.0,Good
82.0,190,10.0,100.0,28.0,0.0,0.0,100.0,0.0,7.0,0.0,30.0,0.0,0.0,17,1.0,0.0,0.0,0.0,2,0.0,0,6.67,Good
83.0,238,3.0,100.0,8,0.0,0.0,100.0,0,7.0,8.0,12,2,20.0,3,1,1.0,0.2,0.1,4,1,1,41.67,Good
89.0,219,50.0,97,7.0,0.0,0,100.0,12,7.0,8.0,7.0,0.0,0,1,0,1.0,8,0,1,0,0,0,Good
68.0,200,1.0,100,7,3.0,2,64.0,12,6.0,9,11.0,2,36,0,3.0,3.0,13,47,1,3,1,36,Bad
89.0,306,14.0,160,100,0.0,0,100.0,0,7.0,8.0,100,10,17.0,0,0,0.0,10,10,3,47,0,50,Bad
56.0,219,4.0,97,8,3.0,2,78.0,2,0.0,0,10,3,59.0,1,2.0,2.0,6,75,1,5,0,60,Bad
70.0,52,17.0,34.5,8.0,0.0,0.0,100.0,7.0,7.0,7.0,8.0,0.0,38.0,0.0,0.0,0.0,0.375,0.25,3,3.0,2,75.0,Bad
86.0,200,13.0,106.5,38.0,0.0,0,100.0,0,7.0,7,38,0.0,0,12,0,0.0,0,0,0,0,0,0,Good
89.0,447,10.0,,6.0,0.0,,100.0,Never Had Delinquency,7.0,8.0,,,43.0,11,0.0,0.0,,No Installment Burden,1,,0,,Good
60.0,188,12.0,100,17.0,0.0,0.0,74.0,0,4.0,6.0,19.0,5,21.1,0,2,2.0,23,77,6,4,4,52.6,Bad
70.0,108,2.0,,,0.0,,98.0,10,4.0,,,7.0,,7,0.0,0.0,,,2,,0,,Bad
78.0,0,2.0,0,25.0,0.0,0,100.0,0,7.0,0,0,0,0,0,0,1.0,0,0,3,0,0,31,Good
88.0,163,11.0,0,0,0.0,0,90.0,0,6.0,0,0,0,0,0,0.0,0.0,2,0,2,0,0,0,Bad
55.0,120,6.0,63,15,1.0,1,83.0,6,4.0,6.0,18.0,2,11.11,0,10,9.0,0.389,0.111,7,2,4,50,Bad
