ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
87.0,210,12,111.0,32,0,0,100.0,0,7.0,8.0,32.0,2,9.4,3,1,1.0,2,0,6,3,0,27,Good
79.0,240,12,120,45,0,0,100.0,12,7.0,8.0,47.0,4.0,2.13,1,1,1.0,9,13,20,1,0,42,Good
85.0,240,12,126,2,0,0,100.0,0,6.0,7.0,2,1,50,6,2.0,2.0,4,0,0,1,1,50,Good
72.0,210,4.0,90,13,0,0,97.0,0,6.0,6.0,14,3,29,6,2.0,2.0,37,25,5,4,1,64,Good
59.0,210,12,110,10,0,0,76.0,24,4.0,6.0,13,1.0,30.77,6,1,1.0,63,40,7,4,4,86,Bad
77.0,220,30,63.0,6,0.0,0,100.0,0,7.0,8.0,6,0,16.67,0,1,1.0,25,5,5,1,1,50,Bad
76.0,157,12,100,10.0,0,0,91.0,0,6.0,5.0,12,0.0,18.0,0,0,0.0,0,0,0,0,0,0,Good
65.0,125,2,63.5,14,4.0,1.0,79.0,16,6.0,3.0,19.0,5,5.3,0,0,0.0,85,15,13,1,1,75,Bad
70.0,200,12,70,11,0,0,88.0,12,6.0,6.0,12,2.0,25,12,1,0.0,43,30,8,3,3,92,Bad
57.0,180,6,90,4,0,0,70.0,18,0.0,2.0,5,1,60.0,0,0.0,0.0,38,78,2,3,0,100,Bad
76.0,240,12,84,48.0,0,0.0,100.0,0,5.0,8.0,49.0,5,18.37,0,2,2.0,22,22,9,9,1,37,Good
60.0,215,3.0,98,13,0,0,81.0,5,4.0,6.0,16.0,4.0,31.0,1,2,2.0,65,35,2,3,1,63,Good
