ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
81.0,119,10.0,55.0,7.0,0.0,0.0,100.0,0,7.0,8.0,7.0,1.0,57.0,0,3.0,2.0,0,0,0,2,0,28.57142857142857,Good
76.0,200,1.0,108.0,57.0,0.0,0.0,100.0,0,7.0,8.0,61.0,3.0,56.0,0,5,4.0,51,51,7,9,4,84,Bad
70.0,83,7.0,48.0,7,0,0,75,6,6.0,5.0,8.0,1.0,13.0,2,2,1.0,38,12,3,1,0,67,Bad
86,454,89.0,271.5,9.0,0.0,0.0,100.0,7.0,7.0,8.0,9.0,0.0,33.0,0,1.0,1.0,1,0.33,1,2,0,33,Bad
70,240,4.0,122,28.0,0.0,0,100,4,4.0,6.0,28.0,3.0,46.0,0,0,0.0,52,95,10,7,2,60.7,Bad
44.0,220,3.0,51.0,38,0,0,87.0,6,4.0,4.0,45.0,4.0,58.0,0,2,2.0,75,85,5,12,2,38.0,Bad
90,200,38.0,130.0,11.0,0.0,0.0,100.0,7,7.0,8.0,11.0,0.0,18.0,0,0.0,0.0,32,3,4,1,1,56,Good
63.0,153,3.0,78.0,17.0,0.0,0.0,100.0,4,4.0,6.0,17.0,1.0,47.0,0,4.0,3.0,44,94,3,8.0,0,64.7,Bad
84,220,1.0,66.0,48.0,0.0,0.0,96.0,22,6.0,6.0,53.0,6.0,17.0,0,0,0,16,87,5,4,2,17.0,Good
70,200,23.0,111,19.0,2.0,2,88.0,0,6.0,2.0,24.0,0.0,29.0,0,0.0,0.0,25,7,3,10,2,56,Bad
86,220,2.0,110,25,0.0,0.0,96.0,6,6.0,6.0,26.0,2.0,31.0,0,3,2.0,79,36,6,3,3,80,Bad
77.0,120,4.0,78.0,35.0,0,0,100.0,0,7.0,8.0,35.0,7.0,6.0,0,0,0,11,4,6,2,2,47,Bad
63.0,148,4.0,76,13,0.0,0.0,100,43,6.0,6.0,13.0,1.0,54.0,3,1.0,1.0,92,70,3,7,2,100,Bad
86,219,2.0,71.0,20,0,0,80,12,7.0,8.0,28.0,2.0,29.0,0,0.0,0.0,39,66,5,3,2,62,Good
55.0,241,5.0,123.0,11.0,3.0,2.0,64.3,2,4.0,3.0,14.0,1.0,64.0,0,2,1.0,78,52,3,2,1,35.7,Bad
61.0,84,13.0,48.5,9.0,0.0,0.0,70,20,6.0,6.0,9.0,0.0,33.0,5,0.0,0,81,40,5,1,3,66.67,Bad
78,84,16.0,50,3.0,1.0,1.0,50,7,7.0,8.0,4.0,0.0,0.0,0,0.0,0.0,68,0,3,0,0,100,Bad
91.0,0,10.0,0,11.0,0,0,0,0,7.0,8.0,0.0,1.0,73.0,0,3.0,0,0,0,1,1,0,0,Good
86,219,10.0,97,28.0,0,0,100.0,0,7.0,8.0,28.0,1.0,29.0,0,0,0,12,12,3,2,1,46,Bad
86,181,5.0,62.0,20,0,0,100.0,0,7.0,8.0,25.0,3.0,25.0,22,0,0,17,2,3,2,1,56,Good
86,219,2.0,98.0,27.0,0,0.0,100,6,6.0,6.0,28.0,3.0,25.0,2,1.0,0,6,66,4,2,0,50,Good
54.0,188,1.0,94.5,33,5,0.0,87.0,0,4.0,6.0,38.0,4.0,66.0,0,0,0,103,97,5,25,0,78.95,Bad
75.0,288,4.0,146,17.0,0.0,0.0,94.44,0,7.0,8.0,18.0,1.0,44.0,0,0.0,0,49,51,3,2,2,27.78,Good
70,147,2.0,74.5,30,1.0,1.0,88.2,12,1.0,3.0,34.0,4.0,47.0,7,0.0,0.0,34,94,5,16,2,64,Good
86,120,16.0,81.0,18.0,0.0,0,100.0,0,7.0,8.0,32.0,0.0,61.0,7,1,0,3,67,1,4,0,15.63,Good
78.0,200,2.0,32.0,8.0,0,0.0,88.89,1,7.0,8.0,9.0,3.0,22.0,0,1.0,0,23,19,4,2,0,86,Bad
89.0,0.0,30.0,141.0,15.0,0.0,0.0,100.0,0.0,7.0,8.0,15.0,0.0,27.0,0.0,0.0,0.0,7,0.0,2,1,0,43,Good
92,230,25.0,110,35.0,0.0,0.0,100.0,999,7.0,8.0,36.0,0.0,11.0,999,0.0,0,0,0,2,1,0,38,Good
0,265,21.0,143.0,38,0,0.0,100.0,0,7.0,8.0,38.0,0.0,21.0,2,3.0,3.0,47,0,10,1,0,28.95,Good
86,74,15.0,97,13.0,0.0,0.0,100.0,7,7.0,8.0,14.0,0.0,23.0,12,0.0,0.0,68,64,5,1,2,75,Good
74.0,180,3.0,92.5,24.0,0.0,0.0,96.0,6,6.0,6.0,25.0,2.0,40.0,0,0.0,0.0,48,81,7,8,3,81,Bad
83.0,240,11.0,97.0,46.0,0.0,0,100.0,0,7.0,8.0,48.0,1.0,69.0,17,0.0,0.0,13,79,5,20,0,52.08,Good
63.0,70,12.0,41.0,18,0.0,0.0,100,0,7.0,8.0,18.0,0.0,22.0,0,1.0,1.0,92,25,11,2,6,100,Bad
81.0,336,19.0,177.5,10,0.0,0.0,80,0,7.0,8.0,10.0,0.0,50.0,18,0.0,0,73,0,1,0,0,100,Bad
56.0,447,3.0,145.0,14.0,1.0,2.0,70.0,1,4.0,2.0,18.0,1.0,22.0,0,1,1,32,20.0,3,2,1,43,Good
73.0,120,12.0,54.0,12,0,0.0,80,3,4.0,6.0,19.0,0.0,15.0,6,0.0,0,1,22,1,2,0,5.26,Bad
67.0,123,8.0,53.0,12,0.0,0.0,66.67,6,6.0,6.0,18.0,2.0,39.0,5,1.0,1.0,53,39,6,3,2,82,Bad
79.0,246,1.0,108.0,21.0,0,0.0,100.0,0,7.0,8.0,22.0,2.0,18.0,1,2.0,2,18,3.2,7,1,2,62,Bad
78,180,23.0,62.0,5.0,0,0,100,5,4.0,6.0,5.0,0.0,40.0,0,0.0,0,0,0,0,1,0,20,Good
92,236,7.0,79.0,44.0,0.0,0.0,100.0,0,7.0,8.0,44.0,3.0,18.0,8,0,0,2,71,3,6,0,20.45,Good
720,240,32.0,120,20,0,0.0,95.0,4,4.0,6.0,21.0,0.0,15.0,12,0,0.0,10,5,2,1,0,50,Good
80.0,139,1.0,40.0,12.0,0.0,0.0,100.0,0,7.0,8.0,14.0,4.0,36.0,2,5.0,5.0,19,97,5,2,0,50.0,Good
78,298,5.0,96.0,28.0,0.0,0.0,93.0,22,6.0,6.0,28.0,4.0,25.0,0,1,0.0,16,5,5,2,1,25.0,Good
0,349,5.0,0,33.0,0,0.0,0,0,6.0,6.0,35.0,1.0,34.0,0,0,0,7,0,4,2,0,50,Good
92.0,325,27.0,137.0,16.0,0,0,100.0,0,7.0,8.0,16.0,0.0,31.0,0,0.0,0.0,1,0,2,1,0,18.75,Good
86.0,268,6.0,87.0,25.0,0,0,96.0,36,6.0,6.0,27.0,1.0,20.0,0,2.0,2.0,0,0,1,2.5,0,13,Good
75,200,3.0,100,20.0,0,0,85,12,7.0,8.0,14.0,4.0,45.0,1,1.0,0,40,94,6,2,3,57.1,Good
72.0,0,11.0,94.0,23.0,0,0.0,100.0,0,7.0,8.0,23.0,1.0,35.0,8,0,1.0,43,0,3,0,0,64,Good
65.0,67,24.0,45.5,4,1.0,0,80.0,7,7.0,8.0,5.0,0.0,80.0,0,0.0,0.0,99,79.2,1,1,0,40.0,Good
600,36,4.0,14.0,6.0,0,0,100,12,7.0,8.0,6.0,3.0,67.0,0,3.0,0.0,41,20,1,2,0,50,Bad
89.0,167,17.0,92.0,22.0,0,0,100.0,0,7.0,8.0,23.0,0.0,30.0,0,0.0,0.0,12,3.6,2,2,0,17.39,Good
57.0,14,5.0,8.0,3.0,0.0,0.0,100,7,7.0,8.0,3.0,2.0,33.0,0,6.0,5.0,96,4,2,1,0,100,Bad
77.0,100,22.0,70.0,13.0,0.0,0.0,92.0,14,6.0,6.0,14.0,0.0,54.0,9,0.0,0,0,0,1,0,1,7.14,Good
61.0,240,9.0,122.0,11.0,0,1.0,82.0,24,0.0,6.0,46.0,1.0,64.0,3,2,1.0,29,61,2,4,1,13.0,Good
85,241,37.0,95.0,15.0,0.0,0.0,76.0,0,4.0,6.0,17.0,0.0,29.0,30,1.0,1.0,51,43,3,1,0,80,Bad
86,26,2.0,10.0,5,0,0,100,2,6.0,8.0,7.0,5.0,14.0,0,2,1.0,25,5,4,1,0,83,Bad
80,148,3.0,70,9,0,0,86.0,100,0.0,5.0,10.0,4.0,43.0,2,2,1.0,18,60,2,2,1,71,Good
61.0,156,21.0,69,20.0,3.0,1.0,68.0,0,4.0,4.0,25.0,0.0,36.0,0,2.0,1,63,86,6,3,2,90,Bad
92,240,3.0,121.5,36,0.0,0,100.0,0,7.0,8.0,36.0,1.0,31.0,0,0,0.0,29,84,3,11,1,38.9,Good
0,198,5.0,73.0,22.0,0,0.0,88.0,0,6.0,5.0,24.0,1.0,17.0,0,0,2.0,31,0,3,0,0,57,Good
92,282,3.0,142.5,40,0.0,0.0,100.0,0,7.0,8.0,40.0,3.0,28.0,0.5,1,1,14,5,6,2,2,20.0,Good
62.0,0,1.0,12.0,0,0.0,0,0,0,7.0,8.0,9.0,5.0,22.0,9,0,0,59,0,5,2,0,100,Bad
70,91,5.0,48,7,2.0,2.0,75.0,13,0.0,2.0,9.0,3.0,63.0,0,5,4.0,76,89,3,6,0,100,Bad
63.0,95,3.0,49,16,0,0.0,94.0,12,4.0,6.0,17.0,2.0,47.0,9,0,0.0,68,89,3,5,0,100,Bad
86,219,6.0,97,30,2,2.0,80,12,6.0,4.0,32.0,2.0,19.0,0,0,0,37,20,9,12,4,65,Bad
63.0,136,2.0,69.0,44.0,0,1.0,100.0,6,6.0,8.0,48.0,3.0,17.0,1,2,2,10,28,2,4,1,43,Good
0,290,2.0,140.0,0,0.0,0,0,0,7.0,8.0,19.0,1.0,21.0,0,0,0,0,97,1,2,0,44,Good
75.0,219,22.0,79.0,6.0,0.0,0,86,25,6.0,6.0,7.0,0.0,14.0,0,5.0,5,59,30,2,1,0,100,Bad
0,0,43.0,0,11.0,0.0,0,100.0,0,7.0,8.0,11.0,0.0,18.0,0,1.0,1.0,23,0,4,1,0,63,Bad
90.0,200,8.0,102.0,22.0,0.0,0,100.0,0,7.0,8.0,22.0,1.0,36.0,8,0,0,0,0,1,0,0,4.55,Good
