ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
72.0,250.0,0.0,47.0,22.0,0.0,0.0,100.0,30.0,7.0,5.0,28.0,3.0,45.0,0.0,1.0,7.0,55.0,80.0,2.0,2.0,1.0,70.0,Bad
62.0,150.0,3.0,79.0,12.0,0.0,0.0,93.0,20.0,4.0,3.0,15.0,1.0,40.0,3.0,1.0,1.0,10.0,20.0,4.0,2.0,3.0,83.0,Good
79.0,180.0,15.0,70.0,18.0,1.0,1.0,96.0,6.0,6.0,6.0,25.0,1.0,45.0,0.0,1.0,1.0,55.0,80.0,0.0,2.0,0.0,75.0,Good
86.0,250.0,10.0,123.0,30.0,0.0,0.0,100.0,20.0,7.0,6.0,32.0,2.0,44.0,0.0,1.0,2.0,35.0,55.0,1.0,5.0,0.0,43.0,Bad
69.0,158.0,10.0,69.0,34.0,0.0,0.0,75.0,43.0,4.0,4.0,38.0,4.0,26.0,0.0,0.0,0.0,51.0,83.0,2.0,3.0,1.0,65.0,Bad
77.0,160.0,3.0,58.0,24.0,0.0,0.0,100.0,200.0,7.0,0.0,27.0,3.0,35.0,0.0,0.0,2.0,25.0,60.0,2.0,1.0,0.0,55.0,Good
59.0,150.0,4.0,78.0,29.0,1.0,1.0,91.0,20.0,6.0,4.0,32.0,3.0,30.0,2.0,0.0,4.0,40.0,89.0,9.0,3.0,3.0,55.0,Good
76.0,210.0,32.0,95.0,12.0,0.0,0.0,92.0,11.0,4.0,6.0,24.0,0.0,30.0,0.0,1.0,0.0,40.0,88.0,1.0,2.0,1.0,38.0,Bad
76.0,187.0,10.0,48.0,25.0,0.0,0.0,100.0,2.0,7.0,7.0,30.0,1.0,35.0,8.0,1.0,0.0,70.0,80.0,2.0,3.0,1.0,17.0,Bad
54.0,133.0,30.0,69.0,8.0,10.0,6.0,47.0,15.0,3.0,3.0,19.0,2.0,70.0,5.0,2.0,0.0,38.0,60.0,2.0,2.0,0.0,78.0,Bad
