ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
72.0,200.0,3.0,100.0,12.0,0.0,0.0,100.0,0,7.0,8.0,12.0,2.0,25.0,1.0,8.0,7.0,36.0,20.0,7.0,3.0,1,83.0,Bad
62.0,220.0,0.0,79.0,14.0,0.0,0.0,93.0,0,4.0,6.0,15.0,0.0,6.7,0.0,1.0,1.0,93.0,93.0,4.0,1.0,3,83.0,Good
79.0,250.0,15.0,100.0,17.0,1.0,0.0,96.0,18,6.0,5.0,18.0,0.0,11.0,0.0,0.0,1.0,0.0,74.0,2.0,2.0,0,22.0,Good
86.0,250.0,10.0,120.0,22.0,0.0,0.0,100.0,300,7.0,8.0,22.0,5.0,9.1,30.0,2.0,2.0,3.0,5.0,7.0,2.0,0,43.0,Bad
69.0,180.0,24.0,90.0,8.0,0.0,0.0,75.0,6,4.0,6.0,14.0,1.0,30.0,2.0,1.0,0.0,51.0,30.0,5.0,2.0,1,80.0,Bad
77.0,195.0,3.0,99.0,33.0,0.0,0.0,100.0,0,7.0,8.0,33.0,2.0,21.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0,36.0,Good
59.0,219.0,0.0,84.0,0.0,0.0,0.0,91.0,0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,0.0,9.0,4.0,3,76.0,Good
76.0,169.0,0.0,95.0,12.0,0.0,0.0,92.0,11,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1,38.0,Bad
76.0,210.0,18.0,96.0,10.0,0.0,0.0,100.0,0,7.0,8.0,12.0,2.0,50.0,8.0,1.0,0.0,1.0,0.5,4.0,2.0,1,57.0,Bad
54.0,316.0,30.0,120.0,8.0,0.0,0.0,47.0,12,3.0,3.0,14.0,3.0,21.0,5.0,1.0,0.0,38.0,15.0,6.0,2.0,0,57.0,Bad
86.0,200.0,12.0,106.0,6.0,0.0,0.0,100.0,0,7.0,8.0,8.0,2.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,0,25.0,Good
54.0,180.0,3.0,92.0,16.0,0.0,0.0,95.0,4,4.0,6.0,17.0,2.0,12.0,12.0,0.0,0.0,76.0,22.0,9.0,2.0,4,65.0,Bad
76.0,240.0,12.0,100.0,68.0,0.0,0.0,100.0,0,7.0,8.0,68.0,5.0,4.41,2.0,1.0,1.0,14.0,5.0,65.0,3.0,2,58.0,Good
68.0,253.0,12.0,99.0,15.0,1.0,0.0,85.0,2,4.0,2.0,16.0,2.0,12.5,1.0,0.0,0.0,44.0,20.0,9.0,1.0,1,63.0,Good
59.0,150.0,6.0,80.0,5.0,0.0,0.0,83.0,6,6.0,6.0,6.0,1.0,33.33,6.0,0.0,0.0,101.0,101.0,1.0,2.0,1,100.0,Bad
73.0,250.0,12.0,100.0,22.0,0.0,0.0,100.0,0,7.0,8.0,22.0,1.0,41.0,0.0,0.0,0.0,56.0,30.0,12.0,5.0,1,79.0,Bad
89.0,0.0,0.0,107.0,8.0,0.0,0.0,100.0,0,7.0,8.0,8.0,0.0,14.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,0,50.0,Good
68.0,180.0,40.0,66.0,10.0,2.0,1.0,90.0,12,6.0,3.0,12.0,3.0,23.0,6.0,1.0,2.0,24.0,37.0,4.0,4.0,0,53.0,Bad
72.0,220.0,30.0,95.0,12.0,1.0,0.0,88.0,6,3.0,5.0,18.0,1.0,56.0,3.0,1.0,2.0,0.0,0.2,5.0,2.0,0,40.0,Good
75.0,200.0,8.0,60.0,12.0,0.0,0.0,100.0,0,7.0,8.0,15.0,2.0,20.0,0.0,5.0,5.0,34.0,20.0,4.0,3.0,2,45.0,Good
87.0,219.0,11.0,97.0,14.0,0.0,0.0,100.0,0,7.0,8.0,14.0,0.0,7.0,22.0,0.0,0.0,3.0,0.0,8.0,1.0,0,67.0,Good
73.0,220.0,2.0,100.0,12.0,1.0,0.0,94.0,0,6.0,5.0,14.0,3.0,28.6,0.0,6.0,5.0,46.0,46.0,8.0,4.0,0,86.0,Bad
84.0,200.0,24.0,112.0,7.0,0.0,0.0,100.0,0,7.0,8.0,7.0,0.0,28.57,0.0,0.0,0.0,16.0,5.0,4.0,2.0,0,86.0,Good
80.0,347.0,0.0,0.0,0.0,0.0,0.0,100.0,0,7.0,8.0,0.0,0.0,54.0,0.0,0.0,0.0,13.0,54.0,2.0,3.0,1,71.0,Bad
56.0,72.0,1.0,36.5,6.0,2.0,3.0,88.0,6,6.0,2.0,4.0,3.0,25.0,0.0,2.0,2.0,86.0,3.0,3.0,1.0,3,100.0,Bad
66.0,240.0,12.0,100.0,6.0,0.0,0.0,86.0,60,6.0,6.0,10.0,2.0,71.0,0.0,1.0,0.0,0.0,0.2,3.0,4.0,1,67.0,Bad
62.0,150.0,12.0,80.0,23.0,2.0,1.0,74.0,6,5.0,5.0,31.0,4.0,45.0,0.0,3.0,0.0,60.0,82.0,23.0,8.0,1,100.0,Good
73.0,169.0,0.0,0.0,0.0,0.0,0.0,95.0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,21.0,0.0,2.0,0,57.0,Bad
81.0,240.0,12.0,60.0,25.0,0.0,0.0,100.0,999,7.0,8.0,30.0,5.0,20.0,5.0,0.0,0.0,6.0,5.0,5.0,6.0,0,100.0,Bad
85.0,240.0,6.0,120.0,7.0,0.0,0.0,100.0,0,7.0,8.0,19.0,2.0,5.3,1.0,1.0,1.0,28.0,5.0,13.0,1.0,0,67.0,Good
78.0,254.0,3.0,128.5,37.0,0.0,0.0,95.0,6,6.0,6.0,39.0,2.0,26.0,1.0,1.0,1.0,20.0,5.2,6.0,3.0,0,56.0,Good
89.0,425.0,19.0,222.0,10.0,0.0,0.0,100.0,0,7.0,8.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0,50.0,Good
84.0,379.0,0.0,0.0,43.0,0.0,0.0,100.0,0,7.0,8.0,0.0,4.0,0.0,0.0,0.0,2.0,8.0,0.0,3.0,2.0,0,26.0,Bad
60.0,0.0,0.0,155.0,13.0,0.0,0.0,94.0,0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0,71.0,Good
82.0,127.0,12.0,57.0,20.0,0.0,0.0,100.0,0,5.0,7.0,20.0,3.0,20.0,6.0,0.0,0.0,19.0,5.0,8.0,4.0,0,59.0,Bad
66.0,120.0,19.0,69.5,8.0,0.0,0.0,76.0,6,6.0,6.0,10.0,1.0,35.0,1.0,1.0,1.0,21.0,12.0,4.0,3.0,0,73.0,Good
83.0,219.0,3.0,59.0,19.0,0.0,0.0,100.0,12,7.0,8.0,4.0,2.0,25.0,3.0,1.0,3.0,6.0,0.0,2.0,1.0,0,75.0,Good
86.0,423.0,10.0,0.0,0.0,0.0,0.0,100.0,0,7.0,8.0,0.0,0.0,16.0,0.0,0.0,1.0,10.0,0.0,0.0,3.0,0,50.0,Good
58.0,240.0,18.0,120.0,45.0,0.0,1.0,92.0,6,4.0,6.0,15.0,2.0,42.0,2.0,1.0,2.0,28.0,22.0,9.0,1.0,0,78.0,Bad
72.0,200.0,2.0,101.0,61.0,0.0,0.0,98.0,5,5.0,7.0,62.0,8.0,11.29,2.0,2.0,2.0,54.0,29.1,6.0,7.0,1,64.0,Bad
48.0,180.0,20.0,65.0,27.0,0.0,0.0,77.0,2,3.0,5.0,31.0,5.0,13.0,2.0,2.0,1.0,72.0,20.0,21.0,4.0,2,82.0,Bad
83.0,240.0,17.0,106.0,8.0,0.0,0.0,92.0,0,6.0,6.0,12.0,0.0,15.0,6.0,1.0,0.0,48.0,30.0,4.0,1.0,0,83.0,Good
65.0,240.0,12.0,80.0,12.0,0.0,0.0,96.0,6,6.0,6.0,14.0,3.0,31.0,2.0,1.0,1.0,56.0,30.0,6.0,2.0,3,57.0,Bad
58.0,240.0,12.0,120.0,7.0,0.0,0.0,88.0,60,6.0,4.0,8.0,2.0,63.0,6.0,2.0,1.0,81.0,35.0,5.0,1.0,0,75.0,Bad
83.0,0.0,11.0,0.0,0.0,0.0,0.0,94.0,0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,81.0,0.0,1.0,0,44.0,Good
78.0,0.0,2.0,0.0,55.0,0.0,0.0,98.0,0,6.0,6.0,56.0,0.0,7.14,2.0,2.0,2.0,13.0,0.93,35.0,4.0,0,69.0,Good
91.0,200.0,12.0,132.0,4.0,0.0,0.0,100.0,0,7.0,8.0,4.0,1.0,25.0,6.0,0.0,0.0,6.0,6.0,1.0,1.0,0,50.0,Good
62.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0,4.0,6.0,0.0,4.0,24.0,0.0,0.0,0.0,43.0,47.0,8.0,2.0,5,63.0,Bad
88.0,180.0,12.0,96.0,10.0,0.0,0.0,100.0,0,7.0,8.0,10.0,2.0,10.0,6.0,1.0,1.0,4.0,1.0,3.0,1.0,0,80.0,Good
88.0,160.0,13.0,86.5,7.0,0.0,0.0,100.0,0,7.0,8.0,6.0,0.0,33.33,0.0,0.0,0.0,8.0,72.0,2.0,2.0,0,67.0,Good
74.0,200.0,4.0,97.0,7.0,0.0,0.0,83.0,6,6.0,6.0,8.0,2.0,25.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0,38.0,Bad
82.0,257.0,0.0,86.0,0.0,0.0,0.0,100.0,0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,1.0,0,56.0,Bad
69.0,200.0,30.0,100.0,50.0,0.0,0.0,100.0,0,7.0,8.0,50.0,5.0,10.0,1.0,4.0,4.0,51.0,20.0,20.0,3.0,1,46.0,Bad
59.0,0.0,0.0,0.0,17.0,2.0,0.0,82.0,0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,0.0,0.0,2.0,2,80.0,Bad
73.0,186.0,20.0,103.0,19.0,0.0,0.0,95.0,32,6.0,2.0,20.0,1.0,15.0,0.0,0.0,0.0,3.0,3.0,8.0,3.0,0,55.0,Good
63.0,217.0,6.0,112.0,13.0,0.0,0.0,100.0,0,0.0,8.0,13.0,1.0,31.0,0.0,0.0,0.0,103.0,100.0,10.0,3.0,2,100.0,Bad
63.0,120.0,12.0,43.0,21.0,0.0,0.0,100.0,0,7.0,8.0,21.0,2.0,9.5,3.0,1.0,1.0,76.0,56.0,14.0,2.0,3,75.0,Bad
60.0,115.0,10.0,48.0,7.0,0.0,0.0,89.0,6,3.0,5.0,8.0,2.0,37.5,1.0,4.0,4.0,44.0,30.0,4.0,3.0,1,88.0,Bad
72.0,200.0,11.0,100.0,11.0,0.0,0.0,95.0,0,4.0,6.0,12.0,1.0,33.33,1.0,1.0,1.0,24.0,56.0,8.0,4.0,0,100.0,Good
55.0,210.0,15.0,95.0,19.0,6.0,3.0,63.0,30,3.0,5.0,30.0,4.0,7.0,12.0,0.0,0.0,50.0,30.0,28.0,2.0,1,100.0,Bad
58.0,113.0,0.0,0.0,0.0,0.0,0.0,71.0,0,4.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,7.0,2.0,1,90.0,Bad
64.0,240.0,12.0,100.0,17.0,0.0,0.0,95.0,0,2.0,4.0,23.0,2.0,8.7,30.0,1.0,0.0,68.0,10.0,14.0,2.0,1,71.0,Bad
74.0,176.0,5.0,87.0,8.0,0.0,0.0,95.0,6,6.0,6.0,8.0,1.0,25.0,2.0,2.0,2.0,29.0,10.0,3.0,1.0,1,50.0,Bad
70.0,180.0,6.0,60.0,8.0,0.0,0.0,100.0,0,7.0,8.0,8.0,2.0,25.0,0.0,2.0,2.0,57.0,30.0,6.0,2.0,1,100.0,Bad
89.0,200.0,12.0,129.0,9.0,0.0,0.0,100.0,6,7.0,8.0,9.0,2.0,22.2,1.0,1.0,0.0,3.0,2.0,2.0,1.0,0,33.0,Good
66.0,120.0,5.0,93.0,9.0,0.0,0.0,84.0,24,4.0,5.0,11.0,2.0,9.09,3.0,1.0,0.0,28.0,9.33,3.0,1.0,0,36.0,Good
57.0,219.0,30.0,97.0,5.0,4.0,6.0,71.0,12,6.0,2.0,11.0,0.0,9.09,0.0,1.0,2.0,100.0,0.0,10.0,1.0,1,100.0,Bad
77.0,210.0,18.0,90.0,12.0,0.0,0.0,100.0,0,7.0,8.0,12.0,2.0,15.0,3.0,1.0,1.0,22.0,15.0,2.0,3.0,0,45.0,Good
73.0,83.0,2.0,37.0,20.0,0.0,0.0,100.0,0,7.0,8.0,20.0,1.0,10.0,1.0,2.0,2.0,29.0,58.0,7.0,2.0,1,45.0,Good
65.0,240.0,12.0,126.0,12.0,2.0,0.0,81.0,6,3.0,2.0,15.0,3.0,13.33,0.0,5.0,4.0,48.0,8.0,9.0,2.0,1,73.0,Bad
76.0,172.0,5.0,88.5,15.0,0.0,0.0,91.0,34,6.0,6.0,16.0,2.0,6.25,1.0,2.0,2.0,12.0,57.0,3.0,1.0,1,25.0,Bad
85.0,515.0,6.0,260.5,15.0,0.0,0.0,100.0,0,7.0,8.0,15.0,2.0,47.0,0.0,0.0,0.0,28.0,0.0,9.0,1.0,0,67.0,Good
63.0,0.0,0.0,110.0,12.0,0.0,0.0,80.0,0,6.0,4.0,15.0,0.0,0.0,16.0,0.0,0.0,81.0,0.0,0.0,0.0,1,100.0,Bad
62.0,180.0,10.0,95.0,4.0,1.0,0.0,75.0,58,6.0,6.0,8.0,3.0,25.0,0.0,1.0,1.0,96.0,4.0,6.0,2.0,1,100.0,Bad
63.0,129.0,1.0,65.0,9.0,0.0,0.0,75.0,0,3.0,2.0,12.0,9.0,8.33,1.0,5.0,4.0,17.0,5.0,8.0,1.0,0,75.0,Bad
79.0,120.0,6.0,38.0,14.0,0.0,0.0,100.0,0,7.0,8.0,16.0,2.0,12.5,1.0,1.0,1.0,7.0,5.0,5.0,2.0,0,44.0,Good
63.0,126.0,0.0,63.0,9.0,1.0,0.0,83.0,8,3.0,5.0,10.0,1.0,20.0,0.0,2.0,1.0,90.0,10.0,8.0,2.0,0,100.0,Bad
73.0,161.0,0.0,0.0,0.0,0.0,0.0,98.0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,3.0,2,69.0,Good
89.0,284.0,30.0,120.0,10.0,0.0,0.0,100.0,0,7.0,8.0,12.0,0.0,25.0,20.0,0.0,0.0,9.0,5.0,5.0,2.0,0,57.0,Good
82.0,368.0,6.0,106.0,25.0,0.0,0.0,100.0,0,7.0,8.0,25.0,2.0,20.0,0.0,1.0,1.0,8.0,5.0,8.0,1.0,1,36.0,Good
79.0,210.0,14.0,105.0,20.0,0.0,0.0,100.0,0,7.0,8.0,25.0,3.0,8.0,6.0,1.0,2.0,14.0,130.0,10.0,2.0,0,50.0,Good
88.0,393.0,16.0,204.5,15.0,0.0,0.0,100.0,7,7.0,8.0,16.0,0.0,6.25,0.0,0.0,0.0,9.0,0.0,7.0,1.0,0,50.0,Good
56.0,200.0,5.0,102.5,26.0,0.0,0.0,84.0,12,4.0,6.0,31.0,2.0,16.0,4.0,1.0,1.0,39.0,7.0,11.0,2.0,3,54.0,Good
74.0,200.0,12.0,75.0,24.0,1.0,0.0,87.0,0,6.0,4.0,25.0,1.0,8.0,0.0,0.0,0.0,57.0,30.0,10.0,1.0,0,44.0,Good
80.0,150.0,18.0,84.0,26.0,1.0,0.0,93.0,56,6.0,6.0,28.0,5.0,32.0,6.0,2.0,1.0,19.0,12.0,11.0,5.0,0,58.0,Good
49.0,219.0,30.0,124.5,5.0,0.0,1.0,56.0,0,3.0,5.0,7.0,0.0,57.14,0.0,0.0,2.0,65.0,35.0,3.0,4.0,1,100.0,Bad
57.0,0.0,0.0,0.0,11.0,0.0,0.0,40.0,0,1.0,3.0,15.0,0.0,6.67,0.0,1.0,1.0,11.0,11.0,14.0,1.0,0,57.0,Bad
69.0,301.0,3.0,5.1,5.0,0.0,0.0,79.0,180,6.0,6.0,6.0,2.0,50.0,30.0,2.0,2.0,33.0,20.0,3.0,3.0,0,100.0,Bad
79.0,150.0,12.0,52.0,25.0,0.0,0.0,100.0,0,7.0,8.0,25.0,2.0,8.0,0.0,2.0,2.0,10.0,5.0,5.0,2.0,0,50.0,Good
73.0,210.0,14.0,88.0,25.0,0.0,0.0,89.0,30,6.0,6.0,28.0,0.0,7.14,0.0,4.0,3.0,21.0,14.0,3.0,2.0,0,63.0,Bad
66.0,152.0,0.0,0.0,0.0,0.0,0.0,87.0,13,5.0,2.0,0.0,2.0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,75.0,Bad
