ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
650.0,240.0,0.0,47.0,18.0,0.0,0.0,100.0,120,7.0,0.0,19.0,5.0,32.0,0,7.0,7.0,36.0,60,2.0,3.0,1.0,26.3,Bad
85.0,180.0,12.0,79.0,12.0,0.0,0.0,93.0,10,4.0,4.0,15.0,1.0,53.33,3,2.0,1.0,0.4,0.3,4.0,8.0,3.0,83.0,Good
86.0,140.0,15.0,70.0,24.0,0.0,0.0,96.0,18,6.0,6.0,25.0,0.0,32.0,0,2.0,1.0,0.0,74,0.0,0.0,0.0,0.0,Good
86.0,310.0,10.0,123.0,22.0,0.0,0.0,100.0,0,7.0,7.0,22.0,0.0,9.09,0,2.0,2.0,0.0,0,1.0,2.0,0.0,13.64,Bad
0.0,153.0,0.0,62.0,8.0,0.0,0.0,75.0,11,4.0,0.0,8.0,1.0,0.0,0,0.0,0.0,0.0,83,2.0,0.0,1.0,0.0,Bad
0.0,0.0,0.0,53.0,33.0,0.0,0.0,100.0,0,7.0,8.0,33.0,0.0,21.0,0,0.0,0.0,0.0,0,2.0,1.0,0.0,36.0,Good
0.0,219.0,4.0,84.0,30.0,0.0,0.0,91.0,26,6.0,5.0,32.0,0.0,47.88,2,4.0,0.0,0.0,89,9.0,15.32,3.0,76.0,Good
76.0,200.0,12.0,95.0,12.0,0.0,0.0,92.0,11,4.0,4.0,12.0,0.0,0.0,0,0.0,0.0,0.2,0,1.0,0.0,0.0,8.33,Bad
0.0,0.0,0.0,48.0,18.0,0.0,0.0,100.0,0,7.0,0.0,46.0,0.0,50.0,8,0.0,0.0,0.0,53,2.0,0.0,0.0,0.0,Bad
54.0,0.0,30.0,132.0,8.0,0.0,0.0,47.0,4,3.0,3.0,19.0,0.0,0.0,5,0.0,0.0,0.0,60,2.0,0.0,0.0,0.0,Bad
86.0,9.0,9.0,62.0,6.0,0.0,0.0,100.0,0,7.0,8.0,2.0,1.0,50.0,1,1.0,1.0,7.0,7,1.0,1.0,0.0,25.0,Good
720.0,120.0,4.0,58.0,21.0,0.0,0.0,95.0,4,4.0,6.0,21.0,1.0,9.5,0,0.0,0.0,76.0,47,9.0,2.0,1.0,52.4,Bad
0.0,0.0,0.0,80.0,44.0,0.0,0.0,100.0,0,7.0,0.0,68.0,0.0,47.1,0,1.0,0.0,0.0,57,8.0,32.0,2.0,58.0,Good
86.0,219.0,12.0,99.0,36.0,1.0,1.0,85.0,10,4.0,5.0,40.0,4.0,28.0,0,0.0,0.0,0.0,0.0,9.0,16.0,1.0,63.0,Good
59.0,163.0,18.0,80.0,5.0,1.0,1.0,83.0,6,6.0,6.0,6.0,0.0,83.0,6,0.0,0.0,101.0,42,1.0,4.0,1.0,83.33,Bad
80.0,120.0,2.0,59.0,22.0,0.0,0.0,100.0,0,7.0,0.0,22.0,2.0,41.0,0,1.0,1.0,56.0,54,6.0,5.0,1.0,50.0,Bad
89.0,180.0,12.0,107.0,21.0,0.0,0.0,100.0,0,7.0,8.0,2.0,1.0,14.0,6,1.0,0.0,6.0,71,2.0,0.0,0.0,100.0,Good
86.0,142.0,3.0,66.0,37.0,0.0,2.0,90.0,19,6.0,3.0,40.0,6.0,10.0,1,2.0,2.0,37.0,37,4.0,4.0,0.0,10.0,Bad
86.0,219.0,11.0,75.0,13.0,1.0,0.0,88.0,6,3.0,3.0,18.0,1.0,11.11,3,2.0,2.0,0.0,11.11,0.0,2.0,0.0,11.11,Good
0.0,311.0,0.0,117.0,40.0,0.0,0.0,100.0,0,7.0,7.0,45.0,0.0,42.0,0,0.0,0.0,0.0,0,4.0,18.9,0.0,8.89,Good
87.0,200.0,12.0,88.0,14.0,0.0,0.0,100.0,0,7.0,0.0,22.0,5.0,4.55,22,0.0,0.0,3.0,14,1.0,1.0,0.0,9.09,Good
73.0,0.0,0.0,92.0,14.0,1.0,0.0,94.0,32,6.0,5.0,17.0,3.0,0.0,0,0.0,0.0,46.0,46,2.0,0.0,0.0,0.0,Bad
78.0,144.0,8.0,64.0,16.0,0.0,0.0,100.0,0,7.0,0.0,16.0,1.0,44.0,2,1.0,1.0,25.0,75,3.0,11.0,0.0,86.0,Good
600.0,150.0,12.0,76.0,24.0,0.0,0.0,100.0,0,7.0,8.0,26.0,5.0,77.0,10,1.0,0.0,50.0,54,2.0,16.0,2.0,71.0,Bad
78.0,72.0,12.0,28.0,6.0,3.0,4.0,88.0,41,6.0,6.0,8.0,3.0,12.5,1,2.0,2.0,5.0,3,5.0,1.0,2.0,75.0,Bad
70.0,120.0,12.0,40.0,7.0,0.0,0.0,86.0,16,6.0,6.0,7.0,2.0,57.14,0,0.0,0.0,0.0,64,0.0,4.0,0.0,57.14,Bad
70.0,240.0,12.0,80.0,29.0,1.0,0.0,74.0,13,5.0,2.0,31.0,5.0,45.0,0,1.0,0.0,30.0,82,6.0,8.0,2.0,19.35,Good
86.0,169.0,0.0,105.0,20.0,0.0,0.0,95.0,21,6.0,6.0,21.0,2.0,14.0,0,0.0,0.0,0.0,21,2.0,2.0,0.0,9.5,Bad
85.0,220.0,6.0,62.0,25.0,0.0,0.0,100.0,0,7.0,0.0,17.0,3.0,35.29,5,0.0,0.0,6.0,35,5.0,6.0,0.0,64.71,Bad
85.0,150.0,12.0,81.0,7.0,0.0,0.0,100.0,0,7.0,8.0,19.0,2.0,26.3,1,1.0,0.0,0.2,0.1,1.0,1.0,0.0,10.5,Good
