ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,MSinceMostRecentDelq_never,MSinceMostRecentInqexcl7days_never,MSinceOldestTradeOpen_no_trades,MSinceMostRecentDelq_no_trades,MSinceMostRecentInqexcl7days_no_trades,NetFractionRevolvingBurden_no_trades,NetFractionInstallBurden_no_trades,NumRevolvingTradesWBalance_no_trades,NumInstallTradesWBalance_no_trades,NumBank2NatlTradesWHighUtilization_no_trades,PercentTradesWBalance_no_trades,RiskPerformance
72.0,133.18518761477827,4.650101214774487,47.0,18.0,0.060107405262433744,0.0,98.8914824964743,37.12696784929071,7.0,8.07374184909721,19.807852972109664,3.0,68.0,0.0,1.1951818067765105,1.1644062339109773,36.0,77.98618590212195,2.9692027796598683,3.0,1.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
62.0,188.00022372261816,12.913249542938079,79.0,12.0,0.28878190989438846,0.18641364366044988,93.0,17.728303618539996,4.0,6.0,13.384230491184098,1.2476852184687068,21.0,2.2522557584170175,1.0,1.0,67.19829981373817,61.818769812830666,6.306901060887327,1.0,3.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Good
79.0,140.0,15.0,70.0,24.0,0.17773584863064018,0.0,96.0,35.366938903582565,6.0,5.0,24.05966999498444,2.126488305004945,32.0,2.1645298451777024,3.0,2.8695148286225303,0.0,61.30438777853031,1.3829161436966322,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
86.0,228.8226303477602,12.916860262720405,92.6007433600821,22.0,0.0,0.026547046938852903,101.85388156053469,44.899505345408016,7.0,8.047451370382122,22.936491212078064,1.0,32.0,3.1653435949948787,2.0611427649084355,2.0,3.0,60.89963876995307,1.9776871485626903,2.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bad
69.0,153.0,10.650789254574907,62.0,8.0,0.4007120093983967,0.0,75.0,11.0,4.0,6.0,10.333714344471518,0.7607690027852998,50.0,0.0,0.0,-0.017781656323150027,51.0,65.13890160682392,2.0042121046045707,2.5267563929044186,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
77.0,195.0,3.0,60.86813655613146,33.0,0.0,0.05205831339584738,103.93317365341213,39.79013659573258,7.0,8.0,33.0,8.0,21.0,2.105254064683035,2.070737299169064,2.0,1.0,74.60117334560906,4.786261251852835,1.0,0.0,36.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Good
59.0,219.0,4.0,84.0,30.0,0.45620476082781236,0.0,87.29666335677743,26.0,6.0,5.0,31.792398650664868,2.8988428141823865,44.0,2.0,4.0,3.8587739102871503,69.37541399493905,72.68686116419957,6.68649187763565,3.4634584148109644,3.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
76.0,204.1512563155256,14.119083712289637,86.89621379266075,12.0,0.5711554464632949,0.4168934592700102,92.0,21.638585024612524,4.0,5.225054333819005,12.0,0.7980262520594801,50.0,3.733237667334396,0.0,0.0,3.0,60.78230155793669,0.9790877422070148,1.3170886267580535,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bad
76.0,221.7879776801676,11.937636568358108,66.67828580615807,18.0,0.0,-0.007716675653807625,100.0,30.925799859186867,7.0,8.193744127648973,46.0,1.0,50.0,3.5713651110729185,0.0062195162960961906,0.0,1.0,53.0,2.5834445975485183,2.9568531493008128,1.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
54.0,316.0,30.0,120.85511942069373,8.0,7.17008370617968,6.0,47.0,4.0,3.0,1.5976880980009294,15.464591678207658,0.0,47.0,5.0,1.0152157497250272,0.9724719616147013,38.0,43.31597004299432,0.49209225282700286,2.13153938555536,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
86.0,217.45606400862894,19.522316914217136,95.94931126733088,6.0,0.0,0.025872002513049608,100.0,46.3066117830505,7.0,7.951336140387404,6.888163228268917,0.8590889729220317,0.0,1.0,1.0231200275526178,1.0,7.0,51.63399244468913,1.0,-0.6214678135725296,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Good
