ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,MSinceMostRecentDelq_never,MSinceMostRecentInqexcl7days_never,MSinceOldestTradeOpen_no_trades,MSinceMostRecentDelq_no_trades,MSinceMostRecentInqexcl7days_no_trades,NetFractionRevolvingBurden_no_trades,NetFractionInstallBurden_no_trades,NumRevolvingTradesWBalance_no_trades,NumInstallTradesWBalance_no_trades,NumBank2NatlTradesWHighUtilization_no_trades,PercentTradesWBalance_no_trades,RiskPerformance
72.0,166.0,6.0,47.0,18.0,0.0,0.0,100.0,15.0,7.0,6.0,19.0,1.0,68.0,0.0,1.0,7.0,29.0,60.0,3.0,3.0,1.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
72.0,184.0,6.0,75.0,20.0,0.0,0.0,93.0,10.0,6.0,6.0,21.0,1.0,21.0,0.0,1.0,1.0,93.0,73.0,3.0,2.0,1.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Good
79.0,184.0,6.0,75.0,20.0,0.0,0.0,96.0,15.0,6.0,6.0,21.0,1.0,32.0,0.0,1.0,1.0,0.0,74.0,3.0,2.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
72.0,310.0,6.0,75.0,22.0,0.0,0.0,100.0,15.0,6.0,6.0,21.0,1.0,32.0,0.0,1.0,2.0,3.0,73.0,3.0,2.0,1.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bad
72.0,153.0,10.0,75.0,20.0,0.0,0.0,75.0,11.0,4.0,6.0,8.0,1.0,50.0,0.0,1.0,0.0,29.0,83.0,3.0,2.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
72.0,184.0,6.0,53.0,20.0,0.0,0.0,100.0,15.0,6.0,6.0,33.0,1.0,21.0,0.0,1.0,2.0,1.0,73.0,3.0,1.0,1.0,67.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Good
72.0,184.0,6.0,84.0,20.0,0.0,0.0,91.0,15.0,6.0,6.0,21.0,3.0,44.0,0.0,1.0,4.0,29.0,89.0,3.0,2.0,3.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
76.0,184.0,6.0,95.0,20.0,0.0,0.0,92.0,15.0,6.0,6.0,21.0,1.0,50.0,0.0,1.0,0.0,29.0,73.0,3.0,2.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bad
72.0,187.0,10.0,48.0,20.0,0.0,0.0,100.0,15.0,6.0,6.0,21.0,1.0,50.0,8.0,1.0,0.0,29.0,53.0,2.0,2.0,1.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
72.0,184.0,30.0,75.0,20.0,0.0,6.0,47.0,15.0,6.0,3.0,21.0,1.0,47.0,5.0,1.0,0.0,29.0,60.0,2.0,2.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
72.0,184.0,9.0,75.0,20.0,0.0,0.0,100.0,15.0,6.0,6.0,21.0,1.0,0.0,0.0,1.0,1.0,7.0,73.0,3.0,2.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Good
72.0,172.0,4.0,75.0,20.0,0.0,0.0,95.0,15.0,6.0,6.0,21.0,1.0,19.0,0.0,1.0,0.0,29.0,47.0,3.0,2.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
72.0,184.0,6.0,75.0,20.0,0.0,0.0,100.0,15.0,6.0,6.0,21.0,1.0,28.0,0.0,1.0,1.0,14.0,57.0,3.0,2.0,1.0,67.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
72.0,184.0,11.0,75.0,20.0,0.0,0.0,85.0,15.0,6.0,6.0,21.0,1.0,28.0,0.0,0.0,0.0,29.0,73.0,3.0,2.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Good
59.0,163.0,18.0,75.0,20.0,0.0,1.0,83.0,15.0,6.0,6.0,21.0,1.0,83.0,6.0,1.0,0.0,29.0,42.0,3.0,2.0,1.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
72.0,184.0,6.0,75.0,22.0,0.0,0.0,100.0,15.0,6.0,6.0,21.0,2.0,41.0,0.0,1.0,0.0,29.0,54.0,6.0,2.0,1.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
72.0,184.0,6.0,75.0,21.0,0.0,0.0,100.0,15.0,6.0,6.0,2.0,1.0,14.0,0.0,0.0,0.0,29.0,71.0,3.0,2.0,1.0,67.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
72.0,184.0,6.0,75.0,20.0,0.0,0.0,90.0,15.0,6.0,6.0,21.0,1.0,23.0,0.0,1.0,2.0,29.0,37.0,3.0,2.0,1.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
72.0,184.0,6.0,75.0,13.0,0.0,0.0,88.0,15.0,3.0,6.0,21.0,1.0,56.0,0.0,1.0,2.0,29.0,73.0,3.0,2.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Good
72.0,311.0,8.0,75.0,40.0,0.0,0.0,100.0,15.0,6.0,6.0,45.0,1.0,42.0,0.0,1.0,5.0,29.0,73.0,3.0,2.0,1.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Good
87.0,184.0,11.0,88.0,20.0,0.0,0.0,100.0,15.0,6.0,8.0,21.0,1.0,14.0,22.0,1.0,0.0,29.0,14.0,1.0,2.0,1.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
72.0,184.0,2.0,75.0,20.0,0.0,0.0,94.0,15.0,6.0,6.0,21.0,1.0,47.0,0.0,1.0,5.0,46.0,46.0,3.0,4.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
72.0,184.0,6.0,64.0,20.0,0.0,0.0,100.0,15.0,6.0,6.0,16.0,1.0,44.0,0.0,1.0,0.0,29.0,75.0,3.0,2.0,0.0,86.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
