imputation_method,dataset,missing_strategy,missing_pct,mse,mae
Mediana,heloc_ML,MAR,10,179.05243069505826,2.1404178384893533
Mediana,heloc_ML,MAR,25,104.87306834475068,4.0521347777600765
Mediana,heloc_ML,MAR,40,635.6480250877324,7.471514970506981
Mediana,heloc_ML,MCAR,10,35.41380006052658,1.332694441642288
Mediana,heloc_ML,MCAR,25,110.47846567967699,3.737352545324994
Mediana,heloc_ML,MCAR,40,765.5818421314247,11.11693508301024
Mediana,heloc_ML,MNAR,10,178.36724001581652,2.8290826413602215
Mediana,heloc_ML,MNAR,25,105.56616189645604,4.061048124950448
Mediana,heloc_ML,MNAR,40,133.1506709785847,4.957806014616383
MICE,heloc_ML,MAR,10,77.38983334283228,1.39143234540619
MICE,heloc_ML,MAR,25,52.29548969413331,2.753906932654611
MICE,heloc_ML,MAR,40,486.80547365744764,6.267325851084421
MICE,heloc_ML,MCAR,10,19.5444733920159,0.8925908430992332
MICE,heloc_ML,MCAR,25,52.711601594323554,2.4393476552246462
MICE,heloc_ML,MCAR,40,553.7516947909937,9.045209743568808
MICE,heloc_ML,MNAR,10,86.44499908842528,1.7628961043525713
MICE,heloc_ML,MNAR,25,57.413649975339744,2.8749083858713056
MICE,heloc_ML,MNAR,40,74.08134499101278,3.7664911692569025
