imputation_method,dataset,missing_strategy,missing_pct,train_file,holdout_file,train_rows,holdout_rows,accuracy,f1_score
Mediana,heloc_ML,MAR,10,heloc_ML_discrirminative_train_MAR_10.csv,heloc_ML_holdout.csv,2958,2959,0.699561,0.694397
Mediana,heloc_ML,MAR,25,heloc_ML_discrirminative_train_MAR_25.csv,heloc_ML_holdout.csv,2958,2959,0.711051,0.692335
Mediana,heloc_ML,MAR,40,heloc_ML_discrirminative_train_MAR_40.csv,heloc_ML_holdout.csv,2958,2959,0.69145,0.673345
Mediana,heloc_ML,MCAR,10,heloc_ML_discrirminative_train_MCAR_10.csv,heloc_ML_holdout.csv,2958,2959,0.716796,0.707198
Mediana,heloc_ML,MCAR,25,heloc_ML_discrirminative_train_MCAR_25.csv,heloc_ML_holdout.csv,2958,2959,0.693815,0.662695
Mediana,heloc_ML,MCAR,40,heloc_ML_discrirminative_train_MCAR_40.csv,heloc_ML_holdout.csv,2958,2959,0.656979,0.57478
Mediana,heloc_ML,MNAR,10,heloc_ML_discrirminative_train_MNAR_10.csv,heloc_ML_holdout.csv,2958,2959,0.719162,0.713941
Mediana,heloc_ML,MNAR,25,heloc_ML_discrirminative_train_MNAR_25.csv,heloc_ML_holdout.csv,2958,2959,0.692802,0.688165
Mediana,heloc_ML,MNAR,40,heloc_ML_discrirminative_train_MNAR_40.csv,heloc_ML_holdout.csv,2958,2959,0.680297,0.662384
MICE,heloc_ML,MAR,10,heloc_ML_discrirminative_train_MAR_10.csv,heloc_ML_holdout.csv,2958,2959,0.709023,0.70073
MICE,heloc_ML,MAR,25,heloc_ML_discrirminative_train_MAR_25.csv,heloc_ML_holdout.csv,2958,2959,0.715106,0.699251
MICE,heloc_ML,MAR,40,heloc_ML_discrirminative_train_MAR_40.csv,heloc_ML_holdout.csv,2958,2959,0.698885,0.69244
MICE,heloc_ML,MCAR,10,heloc_ML_discrirminative_train_MCAR_10.csv,heloc_ML_holdout.csv,2958,2959,0.718486,0.702606
MICE,heloc_ML,MCAR,25,heloc_ML_discrirminative_train_MCAR_25.csv,heloc_ML_holdout.csv,2958,2959,0.709023,0.674234
MICE,heloc_ML,MCAR,40,heloc_ML_discrirminative_train_MCAR_40.csv,heloc_ML_holdout.csv,2958,2959,0.709699,0.687295
MICE,heloc_ML,MNAR,10,heloc_ML_discrirminative_train_MNAR_10.csv,heloc_ML_holdout.csv,2958,2959,0.721865,0.703423
MICE,heloc_ML,MNAR,25,heloc_ML_discrirminative_train_MNAR_25.csv,heloc_ML_holdout.csv,2958,2959,0.696181,0.672734
MICE,heloc_ML,MNAR,40,heloc_ML_discrirminative_train_MNAR_40.csv,heloc_ML_holdout.csv,2958,2959,0.709361,0.708475
