,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
MSinceMostRecentDelq_never,0.521204561212971,0.028754460138875487,0.03134898022068386,0.0344373502938064,0.04026661615839428,0.359219000431144,0.2606056416755423,0.6077077740487441,0.5721350637123046,0.6142326189507666,0.8174105680444015,0.07379018636489339,0.015294749662611988,0.09821551177591063,0.057706729262257526,0.020537058421722647,0.019959800535388796,0.15121057906929541,0.06239420264410599,0.07905136645344982,0.1020761756570317,0.06175483782679518,0.11127085875509149
MSinceMostRecentInqexcl7days_never,0.05690920602110686,0.11475849541047138,0.002124341054148149,0.03307923461076977,0.034513864245471204,0.035061337671905037,0.0355816995606113,0.03145959774207202,0.0036534463635001253,0.024486042110106958,0.039170633840677115,0.025004396074097768,0.0034443002483420674,0.013809441435990756,0.21222159665979123,0.0127785906846791,0.013022292413312266,0.058217862434323114,0.004999798662046846,0.01007291136077123,0.01213044794386767,0.02138260847934315,0.0628261614309601
MSinceOldestTradeOpen_no_trades,0.005581690434758746,0.3041933657874345,0.007384042078927536,0.009975675873737226,0.04499371374473988,0.016642317183302238,0.02080253693400808,0.005726577387330674,0.007392842020254586,0.00208697965160088,0.007666349507772903,0.15960089723933238,0.003824537662176298,0.018185567332789525,0.018021715378746497,0.0024312954082314447,0.0018299273677968469,0.012225149193855714,0.008850444235070896,0.015085908823803831,0.024851931350550794,0.00010373217014214639,0.011470926270438159
MSinceMostRecentDelq_no_trades,0.008330528139838051,0.009618277716405131,0.014063482298824589,0.012402773480498836,0.025484170417889532,0.036614473369814333,0.023582959397773443,0.015022181567142776,0.08151400972166299,0.014263295706507976,0.03559366955496506,0.023035285566478683,0.010004959465716395,0.027657219223405326,0.03217619791295787,0.0006551852631371574,0.0011617751092472413,0.009626959774791152,0.017814265784032734,0.008306051881000313,0.00873046345120396,0.0005167675673298254,0.005225389175641033
MSinceMostRecentInqexcl7days_no_trades,0.20711555921740718,0.10779810276717824,0.18625511122169355,0.19701865397576565,0.07535367598111059,0.04981686857675996,0.042770165566081805,0.0520666426500146,0.033342027818323995,0.07757090396370823,0.0831053509367234,0.07671599107794401,0.14437526606152332,0.03882646463413091,0.09935740453199061,0.14909541865890186,0.14943974185314274,0.11346421643525184,0.10849654568117033,0.08264172405904659,0.09080658421752011,0.08648915787958512,0.060477975792692894
NetFractionRevolvingBurden_no_trades,0.06677992048085639,0.11805424882906997,0.1392059931008122,0.07918580025769005,0.192374214125618,0.036862775065973415,0.05078744567606863,0.11645544322590642,0.003154262424446772,0.0005984746309404404,0.020147935409314303,0.1627426864334992,0.09427552748964689,0.30381633724615353,0.022299518047582144,0.0051729598115246266,0.006529590568479435,0.16043120781421322,0.029166093659049645,0.1754414505210997,0.052955785693656894,0.09194605753973993,0.1519971076106262
NetFractionInstallBurden_no_trades,0.2004069642289779,0.0733901814642789,0.249655183873034,0.19770481143729812,0.2154390146969632,0.021508462739975368,0.01102663445291957,0.022060811634987382,0.019717643494348795,0.07184897373708896,0.04833669684349713,0.1891021878369117,0.21662859058419923,0.29890560061081967,0.019494188831904947,0.06502660804022607,0.06385003623833131,0.13938277385683856,0.8507492060389614,0.1383753216911351,0.556428145990815,0.0997324042317547,0.23741053712182753
NumRevolvingTradesWBalance_no_trades,0.0656865034439934,0.11430226650832254,0.14291225448611294,0.07936766586796828,0.18192254413576933,0.03592097479339929,0.048465615495391974,0.10973136216446294,0.006368975655280423,0.006096061604542377,0.01564835002305177,0.1552180571167793,0.08636589424710353,0.30457486129872435,0.03044111039674986,0.0038444503189021713,0.004011055726730238,0.14614490325897914,0.022491732497934725,0.16459835273124324,0.047219735071064625,0.08421584973435157,0.14494768158434546
NumInstallTradesWBalance_no_trades,0.13647666791596694,0.0739443688892354,0.24488597851099433,0.19046938518250983,0.19164595127109668,0.008389893035775843,0.005195494157092482,0.011659875847081936,0.016634697196086186,0.03790176731810754,0.03455386396693898,0.16466234142468997,0.13346316023009613,0.27886186520072404,0.005921118805517347,0.024997197812998754,0.024055032818324135,0.08253791896582087,0.36014889253997345,0.09287962816376163,0.4084191952120587,0.06989198569711362,0.19483589876100424
NumBank2NatlTradesWHighUtilization_no_trades,0.0648670397463289,0.11630596712295425,0.14752627210265987,0.06330890912018183,0.2539667493099624,0.08752784985757378,0.09721169886622404,0.16268727385500786,0.02356606007937393,0.018094195319384512,0.06729468236898582,0.20692176233973028,0.10909527549246188,0.3107770760875692,0.034543666283400866,0.00412871809762341,0.008772012000212347,0.1234931165912022,0.00938480332319547,0.2541768250145734,0.057720323939614404,0.1693461491139478,0.12358355373436604
