ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,MSinceMostRecentDelq_never,MSinceMostRecentInqexcl7days_never,MSinceOldestTradeOpen_no_trades,MSinceMostRecentDelq_no_trades,MSinceMostRecentInqexcl7days_no_trades,NetFractionRevolvingBurden_no_trades,NetFractionInstallBurden_no_trades,NumRevolvingTradesWBalance_no_trades,NumInstallTradesWBalance_no_trades,NumBank2NatlTradesWHighUtilization_no_trades,PercentTradesWBalance_no_trades,RiskPerformance
64,201.0,3,78,58,0,0,95,59.0,6,6,58,6,21,0.0,4,3,35.0,99.0,9.0,4.0,3.0,39.0,0,0,0,0,0,0,0,0,0,0,0,Bad
77,101.0,13,63,31,0,0,100,,7,8,32,0,9,0.0,1,1,36.0,3.0,2.0,2.0,1.0,40.0,1,0,0,0,0,0,0,0,0,0,0,Good
61,187.0,2,85,28,0,0,97,6.0,4,6,29,2,41,0.0,0,0,86.0,43.0,9.0,4.0,3.0,93.0,0,0,0,0,0,0,0,0,0,0,0,Bad
64,164.0,7,70,16,2,1,89,69.0,6,4,18,1,11,0.0,4,4,89.0,,9.0,1.0,4.0,91.0,0,0,0,0,0,0,1,0,0,0,0,Bad
64,345.0,4,111,34,0,0,94,2.0,4,6,34,3,18,9.0,0,0,53.0,,10.0,1.0,1.0,69.0,0,0,0,0,0,0,1,0,0,0,0,Good
90,179.0,13,86,12,0,0,100,,7,8,12,0,25,0.0,4,4,0.0,,2.0,1.0,0.0,50.0,1,0,0,0,0,0,1,0,0,0,0,Good
66,79.0,7,42,15,0,0,100,,7,8,15,2,20,0.0,3,3,35.0,,6.0,,1.0,75.0,1,0,0,0,0,0,1,0,1,0,0,Bad
61,288.0,4,100,36,0,0,97,11.0,4,6,37,5,51,0.0,3,3,65.0,76.0,6.0,11.0,2.0,95.0,0,0,0,0,0,0,0,0,0,0,0,Bad
63,174.0,1,62,11,1,0,79,5.0,3,5,14,1,29,0.0,5,5,37.0,101.0,5.0,2.0,2.0,70.0,0,0,0,0,0,0,0,0,0,0,0,Bad
59,271.0,5,76,28,0,0,89,2.0,4,6,27,1,36,,3,3,23.0,97.0,8.0,3.0,0.0,69.0,0,1,0,0,0,0,0,0,0,0,0,Bad
65,148.0,1,65,16,0,0,100,,7,8,17,1,29,4.0,1,1,79.0,69.0,7.0,5.0,6.0,92.0,1,0,0,0,0,0,0,0,0,0,0,Bad
60,91.0,4,87,23,1,0,76,7.0,4,5,3,2,20,2.0,2,2,57.0,100.0,3.0,2.0,2.0,50.0,0,0,0,0,0,0,0,0,0,0,0,Bad
72,117.0,1,48,13,1,0,87,72.0,6,5,15,1,47,,3,3,42.0,100.0,3.0,2.0,0.0,100.0,0,1,0,0,0,0,0,0,0,0,0,Bad
70,74.0,9,47,16,0,0,100,,7,8,16,1,50,1.0,4,4,44.0,73.0,4.0,2.0,2.0,67.0,1,0,0,0,0,0,0,0,0,0,0,Bad
89,379.0,156,257,3,0,0,100,,7,8,3,0,33,,0,0,0.0,,0.0,,,0.0,1,1,0,0,0,0,1,0,1,1,0,Good
71,253.0,12,161,11,1,1,92,19.0,6,6,13,0,31,,0,0,97.0,30.0,4.0,1.0,1.0,100.0,0,1,0,0,0,0,0,0,0,0,0,Good
82,189.0,10,82,16,0,0,100,,7,8,16,1,44,3.0,1,1,12.0,,2.0,2.0,0.0,44.0,1,0,0,0,0,0,1,0,0,0,0,Good
82,219.0,16,79,18,0,0,100,,7,8,18,0,17,,0,0,38.0,,4.0,1.0,0.0,56.0,1,1,0,0,0,0,1,0,0,0,0,Bad
68,,4,29,17,1,0,94,9.0,3,5,0,5,0,0.0,5,5,9.0,,4.0,,1.0,42.0,0,0,1,0,0,0,1,0,1,0,0,Good
67,158.0,12,86,11,4,2,60,40.0,6,3,15,0,60,0.0,0,0,60.0,61.0,2.0,4.0,1.0,86.0,0,0,0,0,0,0,0,0,0,0,0,Bad
86,252.0,1,78,7,0,0,100,,7,8,10,3,30,4.0,3,3,29.0,,1.0,2.0,0.0,50.0,1,0,0,0,0,0,1,0,0,0,0,Good
73,269.0,14,91,28,0,0,97,,6,6,34,0,26,0.0,0,0,49.0,70.0,5.0,4.0,2.0,75.0,0,0,0,1,0,0,0,0,0,0,0,Bad
63,45.0,5,28,16,0,0,100,,7,8,16,2,19,0.0,10,10,47.0,,6.0,,2.0,75.0,1,0,0,0,0,0,1,0,1,0,0,Bad
57,212.0,2,87,29,1,1,94,61.0,5,6,32,4,47,0.0,5,5,57.0,69.0,6.0,2.0,2.0,73.0,0,0,0,0,0,0,0,0,0,0,0,Bad
86,173.0,7,89,18,0,0,100,,7,8,18,1,33,6.0,0,0,1.0,19.0,2.0,2.0,0.0,36.0,1,0,0,0,0,0,0,0,0,0,0,Good
78,114.0,5,62,36,0,0,100,,7,8,36,4,22,5.0,1,1,3.0,,3.0,2.0,1.0,33.0,1,0,0,0,0,0,1,0,0,0,0,Good
79,,7,104,20,0,0,95,27.0,6,6,20,2,55,,0,0,27.0,49.0,5.0,3.0,0.0,100.0,0,1,1,0,0,0,0,0,0,0,0,Good
49,259.0,21,119,7,2,0,67,1.0,3,5,9,0,11,11.0,0,0,89.0,25.0,5.0,1.0,2.0,86.0,0,0,0,0,0,0,0,0,0,0,0,Good
59,220.0,87,132,10,5,2,59,3.0,4,2,17,0,41,22.0,0,0,0.0,,0.0,1.0,,33.0,0,0,0,0,0,0,1,0,0,1,0,Bad
91,230.0,12,135,18,0,0,100,,7,8,32,0,16,12.0,0,0,10.0,,1.0,,0.0,25.0,1,0,0,0,0,0,1,0,1,0,0,Good
91,321.0,87,170,8,0,0,100,,7,8,9,0,56,2.0,1,1,1.0,,1.0,,0.0,50.0,1,0,0,0,0,0,1,0,1,0,0,Good
65,45.0,7,27,5,0,0,80,27.0,6,6,6,1,60,,3,3,94.0,90.0,1.0,2.0,1.0,100.0,0,1,0,0,0,0,0,0,0,0,0,Bad
62,161.0,1,60,16,1,0,79,4.0,4,5,19,5,16,0.0,1,1,20.0,25.0,4.0,2.0,0.0,47.0,0,0,0,0,0,0,0,0,0,0,0,Good
64,180.0,10,62,21,0,0,95,25.0,6,6,21,2,29,0.0,7,6,107.0,,2.0,1.0,2.0,75.0,0,0,0,0,0,0,1,0,0,0,0,Bad
