dataset,variabile,tipo,n_unique
HELOC_ML,RiskPerformance,categorical,2
HELOC_ML,ExternalRiskEstimate,numeric,60
HELOC_ML,MSinceOldestTradeOpen,numeric,524
HELOC_ML,MSinceMostRecentTradeOpen,numeric,108
HELOC_ML,AverageMInFile,numeric,235
HELOC_ML,NumSatisfactoryTrades,numeric,73
HELOC_ML,NumTrades60Ever2DerogPubRec,numeric,18
HELOC_ML,NumTrades90Ever2DerogPubRec,numeric,16
HELOC_ML,PercentTradesNeverDelq,numeric,71
HELOC_ML,MSinceMostRecentDelq,numeric,85
HELOC_ML,MaxDelq2PublicRecLast12M,numeric,9
HELOC_ML,MaxDelqEver,numeric,7
HELOC_ML,NumTotalTrades,numeric,87
HELOC_ML,NumTradesOpeninLast12M,numeric,18
HELOC_ML,PercentInstallTrades,numeric,95
HELOC_ML,MSinceMostRecentInqexcl7days,numeric,26
HELOC_ML,NumInqLast6M,numeric,26
HELOC_ML,NumInqLast6Mexcl7days,numeric,26
HELOC_ML,NetFractionRevolvingBurden,numeric,126
HELOC_ML,NetFractionInstallBurden,numeric,137
HELOC_ML,NumRevolvingTradesWBalance,numeric,29
HELOC_ML,NumInstallTradesWBalance,numeric,18
HELOC_ML,NumBank2NatlTradesWHighUtilization,numeric,17
HELOC_ML,PercentTradesWBalance,numeric,93
HELOC_ML,MSinceOldestTradeOpen_no_trades,numeric,2
HELOC_ML,MSinceMostRecentDelq_no_trades,numeric,2
HELOC_ML,MSinceMostRecentInqexcl7days_no_trades,numeric,2
HELOC_ML,NetFractionRevolvingBurden_no_trades,numeric,2
HELOC_ML,NetFractionInstallBurden_no_trades,numeric,2
HELOC_ML,NumRevolvingTradesWBalance_no_trades,numeric,2
HELOC_ML,NumInstallTradesWBalance_no_trades,numeric,2
HELOC_ML,NumBank2NatlTradesWHighUtilization_no_trades,numeric,2
HELOC_ML,PercentTradesWBalance_no_trades,numeric,2
